api_unii,smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,RingCount,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolMR,LabuteASA,BalabanJ,BertzCT,HallKierAlpha,NumSaturatedRings,NumHeteroatoms,NHOHCount
U6X61U5ZEG,C[C@@H]([C@@H](c1ccccc1)O)NC.C[C@@H]([C@@H](c1ccccc1)O)NC.OS(=O)(=O)O,428.5510000000001,2.003,139.11999999999998,6.0,6.0,6.0,2.0,0.0,2.0,0.4,29.0,164.0,114.02440000000009,172.73976205769512,4.419607778584308e-07,662.6224826251437,-1.85,0.0,9.0,6.0
U3H27498KS,c1cc(c(c(c1)Cl)Cl)-c2c(N)nc(N)nn2,256.09599999999995,2.0098,90.71,2.0,5.0,1.0,2.0,0.0,2.0,0.0,16.0,82.0,64.1078,101.40220868459404,2.632549823314152,521.5566740827129,-1.59,0.0,7.0,4.0
6KY687524K,CCC1=C(C)CN(C1=O)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3,490.62600000000026,3.0740000000000016,124.68,3.0,5.0,7.0,1.0,2.0,3.0,0.5416666666666666,34.0,186.0,128.52190000000004,200.9538582529672,1.4606470073677094,1014.0141792482164,-2.88,1.0,10.0,3.0
0G389FZZ9M,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,161.201,-1.8064999999999976,60.36,1.0,3.0,4.0,0.0,0.0,0.0,0.8571428571428571,11.0,66.0,38.5302,66.64869847544368,3.694259125238623,125.46396159818462,-0.6100000000000001,0.0,4.0,1.0
423D2T571U,C#C[C@@]1(CC[C@@]2([H])[C@]3([H])CCc4cc(ccc4[C@@]3([H])CC[C@@]21C)O)O,296.41,3.612600000000003,40.46,2.0,2.0,0.0,1.0,3.0,4.0,0.6,22.0,116.0,86.50660000000003,132.1107921567131,1.7217049645427582,648.4924236266434,-1.4600000000000002,2.0,2.0,2.0
U202363UOS,CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(cc2)Cl,360.837,4.680000000000004,52.6,0.0,4.0,6.0,2.0,0.0,2.0,0.3,25.0,132.0,97.26150000000004,152.26143512671686,2.099929247281439,724.6127076208168,-2.329999999999999,0.0,5.0,0.0
N7U69T4SZR,Cc1cc2C(=Nc3ccccc3Nc2s1)N4CCN(C)CC4,312.4420000000001,3.4392200000000024,30.870000000000005,1.0,5.0,0.0,2.0,2.0,4.0,0.3529411764705882,22.0,114.0,94.04770000000003,134.6366450995652,1.80940676635996,705.3895830560557,-1.85,1.0,5.0,1.0
3ST302B24A,CCCCc1nc(c(CO)n1Cc2ccc(cc2)-c3ccccc3-c4[n-]nnn4)Cl.[K+],461.0100000000001,0.8998999999999997,90.82,1.0,5.0,8.0,4.0,0.0,4.0,0.2727272727272727,31.0,154.0,114.8928,228.2246480561332,2.722496210230476e-06,1071.7860703494227,-1.3936363636363636,0.0,9.0,1.0
26LUD4JO9K,CN(C)CCC=C1c2ccccc2CCc3ccccc31.Cl,313.872,4.590400000000005,3.24,0.0,1.0,3.0,2.0,1.0,3.0,0.3,22.0,116.0,97.79000000000003,139.62552697777318,1.763332159631371e-06,597.0928158904169,-1.5699999999999994,0.0,2.0,0.0
4G7DS2Q64Y,CC(=O)[C@H]1CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,314.46900000000005,4.723500000000005,34.14,0.0,2.0,1.0,0.0,4.0,4.0,0.8095238095238095,23.0,126.0,90.88100000000006,139.6482098695481,1.6696033124820626,578.8457306866737,-0.9200000000000002,3.0,2.0,0.0
1Y58DO4MY1,CNCCCN1c2ccccc2CCc3ccccc31.Cl,302.849,3.954600000000004,15.27,1.0,2.0,4.0,2.0,1.0,3.0,0.3333333333333333,21.0,112.0,93.08970000000004,133.13510796477226,1.6133323159562277e-06,520.2559230541013,-1.5099999999999991,0.0,3.0,1.0
6CW7F3G59X,C1CCC(CC1)(CC(=O)O)CN,171.23999999999998,1.3703,63.31999999999999,2.0,2.0,3.0,0.0,1.0,1.0,0.8888888888888888,12.0,70.0,46.82520000000001,72.94860333872566,2.5326302810221746,149.42124551085624,-0.5700000000000001,1.0,3.0,3.0
JFU09I87TR,C[C@@H](c1c(cncn1)F)[C@](Cn2cncn2)(c3ccc(cc3F)F)O,349.31600000000003,2.1769000000000003,76.72,1.0,5.0,5.0,3.0,0.0,3.0,0.25,25.0,130.0,80.68180000000002,140.56237734998655,2.1271464030010665,838.2346875717611,-2.81,0.0,9.0,1.0
70JE2N95KR,CC(C)(C)NCC(=O)Nc1cc(c2C[C@@]3([H])C[C@@]4([H])[C@@H](C(=C(C(=O)[C@]4(C(=C3C(=O)c2c1O)O)O)C(=O)N)O)N(C)C)N(C)C,585.6580000000001,0.5132000000000028,205.76,7.0,11.0,6.0,1.0,3.0,4.0,0.5172413793103449,42.0,228.0,154.38649999999993,243.2106780392574,1.8740796565822564,1404.4652053238617,-3.940000000000001,0.0,13.0,8.0
8W5C518302,c1cc(ccc1N)S(=O)(=O)c2ccc(cc2)N,248.307,1.6838,86.18,2.0,4.0,2.0,2.0,0.0,2.0,0.0,17.0,88.0,67.16060000000002,99.79367710137302,2.4961289671937283,542.5928158904169,-2.01,0.0,5.0,4.0
207LT9J9OC,C1CCC2(C1)CC(=O)N(CCCCN3CCN(CC3)c4ncccn4)C(=O)C2.Cl,421.9730000000001,2.51,69.64000000000001,0.0,6.0,6.0,1.0,3.0,4.0,0.7142857142857143,29.0,160.0,114.02200000000006,178.81286002879168,2.40249588940724e-06,632.5385429054421,-1.73,3.0,8.0,0.0
VZI5B1W380,c1ccc2c(c1)CC(=O)c3ccccc3N2C(=O)N,252.273,2.642199999999999,63.400000000000006,1.0,2.0,0.0,2.0,1.0,3.0,0.0666666666666666,19.0,94.0,72.64090000000003,110.00026108252524,2.3164023693608686,661.243457532804,-2.62,0.0,4.0,2.0
0P6C6ZOP5U,C1CC1COc2cc(ccc2OC(F)F)C(=O)Nc3c(cncc3Cl)Cl,403.212,5.030900000000003,60.45,1.0,4.0,7.0,2.0,1.0,3.0,0.2941176470588235,26.0,138.0,93.50320000000002,157.76804484163932,1.8109905158998685,754.3704742966937,-2.12,1.0,9.0,1.0
F850569PQR,C=CCN1CC[C@@]23c4c5ccc(c4O[C@@]3([H])C(=O)CC[C@]2([C@H]1C5)O)O.Cl,363.84100000000007,1.7232000000000007,70.0,2.0,5.0,2.0,1.0,4.0,5.0,0.5263157894736842,25.0,134.0,94.51860000000003,152.23918471704715,1.567998824747579e-06,753.5469701006612,-1.56,2.0,6.0,2.0
4A2Y23XK11,C=CC(=O)Nc1cc(c(cc1N2CCOCC2)OC)Nc3nccc(n3)-n4cc(CN(C)C)c(-c5ccccc5)n4,554.6550000000002,4.104200000000003,109.67000000000002,2.0,9.0,10.0,4.0,1.0,5.0,0.2666666666666666,41.0,212.0,160.11639999999963,238.97614849587245,1.4850911676615497,1469.9695942979645,-4.739999999999999,1.0,11.0,2.0
KG60484QX9,Cc1cnc(C[S+](c2[nH]c3ccc(cc3n2)OC)[O-])c(C)c1OC,345.4240000000001,2.8997400000000013,83.09,1.0,5.0,5.0,3.0,0.0,3.0,0.2941176470588235,24.0,126.0,93.02110000000005,142.96481028678312,1.8844828594834784,847.8459685641888,-2.25,0.0,7.0,1.0
WK2XYI10QM,CC(C)Cc1ccc(cc1)C(C)C(=O)O,206.285,3.073200000000001,37.3,1.0,1.0,4.0,1.0,0.0,1.0,0.4615384615384615,15.0,82.0,61.03480000000004,90.941753772513,2.7590371332701524,316.396476403863,-1.31,0.0,2.0,1.0
7LXU5N7ZO5,c1cc(CNc2cc(c(cc2C(=O)O)S(=O)(=O)N)Cl)oc1,330.749,1.8907,122.63,3.0,5.0,5.0,2.0,0.0,2.0,0.0833333333333333,21.0,112.0,75.81920000000001,124.92226167058833,2.4066257491277265,735.5860405103488,-2.03,0.0,9.0,4.0
DL48G20X8X,CN1[C@@H]2C[C@H](C[C@H]1[C@@]3([H])[C@]2([H])O3)OC(=O)[C@H](CO)c4ccccc4,303.35799999999995,0.9180999999999993,62.3,1.0,5.0,4.0,1.0,3.0,4.0,0.5882352941176471,22.0,118.0,79.38280000000005,129.37095289872892,1.4200028178766764,524.4165549460381,-1.4299999999999995,3.0,5.0,1.0
69G8BD63PP,CC(C)C[C@@H](B(O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2,384.24500000000006,0.3605999999999992,124.44,4.0,6.0,9.0,2.0,0.0,2.0,0.3684210526315789,28.0,148.0,105.00950000000002,164.11611240521268,2.161933230544059,721.1483319048914,-2.7750649350649352,0.0,9.0,4.0
LX1OH63030,C1[C@@H]([C@]2([H])[C@@]([H])([C@@H](CO2)O[N+](=O)[O-])O1)O,191.139,-1.2782,91.06,1.0,6.0,2.0,0.0,2.0,2.0,1.0,13.0,74.0,37.354200000000006,73.29418295544856,1.9795730634118365,204.08384997862265,-0.9200000000000002,2.0,7.0,1.0
Z6375YW9SF,C1CC1CN2CC[C@@]34c5c6ccc(c5O[C@@]4([H])C(=O)CC[C@]3([C@H]2C6)O)O.Cl,377.8680000000001,1.947200000000001,70.0,2.0,5.0,2.0,1.0,5.0,6.0,0.65,26.0,140.0,97.04560000000004,158.2878987100988,1.4999987282927976e-06,781.4732037255411,-1.2999999999999998,3.0,6.0,2.0
140QMO216E,Cc1ncc(n1CCO)[N+](=O)[O-],171.15599999999998,0.0920199999999998,81.19,1.0,4.0,3.0,1.0,0.0,1.0,0.5,12.0,66.0,40.704200000000014,68.61221882593873,3.032858934158134,276.2284590462866,-1.43,0.0,6.0,1.0
JJ768O327N,C[C@@H](Cc1ccccc1)N.C[C@@H](Cc1ccccc1)N.OS(=O)(=O)O,368.499,2.4998000000000005,126.64,4.0,4.0,4.0,2.0,0.0,2.0,0.3333333333333333,25.0,140.0,101.76820000000008,150.00146735131923,3.679999956556668e-07,575.4523704137114,-1.7699999999999996,0.0,7.0,6.0
F446C597KA,CC1(C)O[C@]2([H])C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@]4([C@H](C[C@]3(C)[C@]2(C(=O)CO)O1)O)F,434.50400000000025,2.418800000000001,93.06000000000002,2.0,6.0,2.0,0.0,5.0,5.0,0.75,31.0,170.0,108.59860000000006,181.0286953933564,1.6368996691130526,896.9990981130844,-1.41,4.0,7.0,2.0
04ZR38536J,C1CC[C@H]([C@@H](C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],397.288,-3.3012999999999986,132.3,2.0,6.0,0.0,0.0,1.0,1.0,0.75,15.0,90.0,44.43280000000001,102.27322701889209,0.0,166.2149912200411,-0.4516883116883115,1.0,7.0,4.0
660YQ98I10,[Cl-].[K+],74.551,-5.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,62.44413570781571,0.0,0.0,1.9263636363636365,0.0,2.0,0.0
JY0WD0UA60,CC12CC3CC(C)(C1)CC(C3)(C2)N.Cl,215.768,3.115900000000001,26.02,1.0,1.0,0.0,0.0,4.0,4.0,1.0,14.0,82.0,61.57240000000005,93.2291047751667,7.499997907500589e-07,201.9699375973561,0.2499999999999999,4.0,2.0,2.0
V92SO9WP2I,C[N+]1(C)CC[C@@H](C1)OC(=O)[C@](c2ccccc2)(C3CCCC3)O.[Br-],398.3410000000002,-0.5396999999999983,46.53,1.0,3.0,4.0,1.0,2.0,3.0,0.631578947368421,24.0,134.0,88.63620000000006,154.7157966505873,2.0833314752100527e-06,532.4165549460381,-0.91,2.0,5.0,1.0
4E07GXB7AU,C[C@@H]1C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@]3([C@H](C[C@]2(C)[C@H]1C(=O)CO)O)F,376.4680000000001,2.780800000000002,74.60000000000001,2.0,4.0,2.0,0.0,4.0,4.0,0.7272727272727273,27.0,148.0,98.48460000000006,159.07755185907865,1.8012015150828034,735.1372703609898,-1.3300000000000003,3.0,5.0,2.0
IR84JPZ1RK,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(C[C@@]2([H])N(C)C1)c[nH]4.C(=C/C(=O)O)/C(=O)O,455.51100000000014,1.6364999999999998,142.96,5.0,5.0,6.0,2.0,2.0,4.0,0.375,33.0,176.0,123.60680000000008,190.9532280952252,3.307499635588011e-07,1046.6484776034597,-3.43,0.0,9.0,5.0
