excipient_names,unii,num_names,count
MAGNESIUM STEARATE,70097M6I30,1,5841
"CELLULOSE, MICROCRYSTALLINE, Cellulose, Microcrystalline, MICROCRYSTALLINE CELLULOSE, Microcrystalline Cellulose, Microcrystalline cellulose, cellulose, microcrystalline, microcrystalline cellulose",OP1R32D61U,7,4317
TITANIUM DIOXIDE,15FIX9V2JP,1,4073
SILICON DIOXIDE,ETJ7Z6XBU4,1,3419
"STARCH, CORN, STARCH, PREGELATINIZED CORN, Starch, Corn, Starch, Pregelatinized Corn, Starch, corn, ZEA MAYS (CORN) STARCH, starch, corn",O8232NY3SJ,7,3093
LACTOSE MONOHYDRATE,EWQ57Q8I5X,1,2903
TALC,7SEV7J4R1U,1,2250
"HYDROXYPROPYL METHYLCELLULOSE, HYPROMELLOSE, HYPROMELLOSE, UNSPECIFIED, HYPROMELLOSES, Hypromellose, Unspecified, Hypromellose, unspecified, Hypromelloses, hypromellose, hypromellose, unspecified, hypromelloses",3NXW29V3WO,10,1991
FERRIC OXIDE YELLOW,EX438O2MRT,1,1689
"CROSCARMELLOSE SODIUM, Croscarmellose Sodium, Croscarmellose sodium, croscarmellose sodium",M28OL1HH48,4,1574
"GELATIN, GELATIN, UNSPECIFIED, Gelatin, Gelatin, Unspecified, Gelatin, unspecified, gelatin, gelatin, unspecified",2G86QN327L,7,1417
FERROSOFERRIC OXIDE,XM0M87F357,1,1385
SODIUM LAURYL SULFATE,368GB5141J,1,1349
SODIUM STARCH GLYCOLATE TYPE A POTATO,5856J3G2A2,1,1343
HEMATITE,1K09F3G675,1,1332
PROPYLENE GLYCOL,6DC9Q167V3,1,1303
"POLYETHYLENE GLYCOL, POLYETHYLENE GLYCOL, UNSPECIFIED, POLYETHYLENE GLYCOLS, POLYETHYLENE GLYCOLs, Polyethylene Glycol, Polyethylene Glycol, Unspecified, Polyethylene Glycols, Polyethylene glycol, unspecified, polyethylene glycol, polyethylene glycol, unspecified, polyethylene glycols",3WJQ0SDW1A,11,1303
"POVIDONE, POVIDONE, UNSPECIFIED, POVIDONES, PVP, Povidone, Povidone, Unspecified, Povidones, povidone, povidone, unspecified, povidones",FZ989GH94E,10,1260
FD&C BLUE NO. 1,H3R47K3TBD,1,1224
D&C YELLOW NO. 10,35SW5USQ3G,1,1210
FD&C YELLOW NO. 6,H77VEI93A8,1,1167
FD&C BLUE NO. 2,L06K8R7DQK,1,1096
FD&C RED NO. 40,WZB9127XOA,1,1088
SHELLAC,46N107B71O,1,994
WATER,059QF0KO0R,1,831
ANHYDROUS LACTOSE,3SY5LH9PMK,1,823
polysorbate 80,6OZP39ZG8H,1,720
CROSPOVIDONE,68401960MK,1,664
"POLYVINYL ALCOHOL, POLYVINYL ALCOHOL, UNSPECIFIED, POLYVINYL ALCOHOl, Polyvinyl Alcohol, Polyvinyl Alcohol, Unspecified, Polyvinyl Alcohol, unspecified, Polyvinyl alcohol, unspecified, polyvinyl alcohol, polyvinyl alcohol, unspecified",532B59J990,9,647
"POVIDONE K30, Povidone K30, Povidone k30, povidone K30, povidone k30",U725QWY32X,5,643
MANNITOL,3OWL53L36A,1,612
STEARIC ACID,4ELV7Z65AP,1,599
SUCROSE,C151H8M554,1,551
"PEG-8, POLYETHYLENE GLYCOL  400, POLYETHYLENE GLYCOL 400, Polyethylene Glycol 400, Polyethylene glycol 400, polyethylene glycol 400",B697894SGQ,6,542
"HYPROMELLOSE 2910 (6 CPS), HYPROMELLOSE 2910 (6 MPA.S), Hypromellose 2910 (6 MPA.S), Hypromellose 2910 (6 Mpa.S), Hypromellose 2910 (6 Mpa.s), hypromellose 2910 (6 MPA.S), hypromellose 2910 (6 cps)",0WZ8WG20P6,7,536
"HYDROXYPROPYL CELLULOSE, HYDROXYPROPYL CELLULOSE (1200000 MW), HYDROXYPROPYL CELLULOSE (1600000 WAMW), HYDROXYPROPYL CELLULOSE (TYPE H), Hydroxypropyl Cellulose, Hydroxypropyl Cellulose (1600000 WAMW), Hydroxypropyl Cellulose (type H), Hydroxypropyl cellulose, hydroxypropyl cellulose, hydroxypropyl cellulose (1600000 WAMW), hydroxypropyl cellulose (type H)",RFW2ET671P,11,533
CROSPOVIDONE,2S7830E561,1,511
TRIACETIN,XHX3C3X673,1,477
AMMONIA,5138Q19F1X,1,457
POTASSIUM HYDROXIDE,WZH3C48M4T,1,452
"GLYCERIN, GLYCEROL",PDC6A3C0OX,2,445
"ALCOHOL, ETHANOL",3K9958V90M,2,412
TRIETHYL CITRATE,8Z96QXD6UM,1,387
METHYLPARABEN,A2I8C7HI9T,1,348
ISOPROPYL ALCOHOL,ND2M416302,1,327
BUTYL ALCOHOL,8PJ61P6TS3,1,325
"PEG-75, POLYETHYLENE GLYCOL 3350, Polyethylene Glycol 3350, Polyethylene glycol 3350, polyethylene glycol 3350",G2M7P15E5P,5,317
Anhydrous Citric Acid,XF417D3PSL,1,315
ALUMINUM OXIDE,LMI26O6933,1,289
SODIUM BENZOATE,OJ245FE5EU,1,282
"POLYETHYLENE GLYCOL 8000, Polyethylene Glycol 8000, Polyethylene glycol 8000, polyethylene glycol 8000",Q662QK8M3B,4,266
"HYPROMELLOSE 2910 (5 CPS), HYPROMELLOSE 2910 (5 MPA.S), Hypromellose 2910 (5 MPA.S), Hypromellose 2910 (5 Mpa.S), hypromellose 2910 (5 MPA.S)",R75537T0T4,5,264
"LACTOSE, UNSPECIFIED FORM",J2B2A4N98G,1,264
ANHYDROUS DIBASIC CALCIUM PHOSPHATE,L11K75P92J,1,258
PROPYLPARABEN,Z8IX2SC1OH,1,250
METHACRYLIC ACID AND ETHYL ACRYLATE COPOLYMER,NX76LV5T8J,1,245
SORBITOL,506T60A25R,1,234
POLYDEXTROSE,VH2XOU12IE,1,233
SODIUM STEARYL FUMARATE,7CV7WJK4UI,1,233
"CARNAUBA WAX, COPERNICIA CERIFERA (CARNAUBA) WAX, Carnauba Wax, Carnauba wax, carnauba wax",R12CBM0EIZ,5,229
"HYPROMELLOSE 2910 (3 CPS), HYPROMELLOSE 2910 (3 MPA.S), Hypromellose 2910 (3 MPA.S), Hypromellose 2910 (3 Mpa.S), hypromellose 2910 (3 cps)",0VUT3PMY82,5,219
DIBASIC CALCIUM PHOSPHATE DIHYDRATE,O7TSZ97GEP,1,214
"LECITHIN, SOYBEAN, Lecithin, Soybean, SOYBEAN LECITHIN, Soybean Lecithin, lecithin, soybean",1DI56QDM62,5,207
SUCRALOSE,96K6UQ3ZD4,1,206
XANTHAN GUM,TTV12P4NEE,1,203
"HYDROXYPROPYL CELLULOSE, UNSPECIFIED, HYDROXYPROPYLCELLULOSE, Hydroxypropyl Cellulose, Unspecified, Hydroxypropyl cellulose, Unspecified, hydroxypropyl cellulose, unspecified",9XZ8H6N6OH,5,198
D&C YELLOW NO. 10 ALUMINUM LAKE,CQ3XH3DET6,1,193
SACCHARIN SODIUM,SB8ZUX40TY,1,192
FD&C RED NO. 3,PN2ZH5LOQY,1,191
D&C RED NO. 28,767IP0Y5NH,1,191
Sodium Hydroxide,55X04QC32I,1,184
CITRIC ACID MONOHYDRATE,2968PHW8QP,1,177
"PEG-135, POLYETHYLENE GLYCOL 6000, Polyethylene Glycol 6000",30IQX730WE,3,171
"ETHYLCELLULOSE, ETHYLCELLULOSE, UNSPECIFIED, ETHYLCELLULOSES, Ethylcelluloses, ethylcellulose, unspecified, ethylcelluloses",7Z8S9VYZ4B,6,169
FD&C BLUE NO. 1 ALUMINUM LAKE,J9EQA3S2JM,1,164
"HYDROXYPROPYL CELLULOSE, LOW SUBSTITUTED, Hydroxypropyl Cellulose, Low Substituted, LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE, UNSPECIFIED, hydroxypropyl cellulose, low substituted, low-substituted hydroxypropyl cellulose, unspecified",2165RE0K14,5,153
FD&C BLUE NO. 2--ALUMINUM LAKE,4AQJ3LG584,1,149
CARBOXYMETHYLCELLULOSE SODIUM,K679OBS311,1,147
MALTODEXTRIN,7CVR7L4A2D,1,142
"SODIUM CITRATE, UNSPECIFIED FORM",1Q73Q2JULR,1,137
"COPOVIDONE, COPOVIDONE K25-31, Copovidone, Copovidone K25-31, copovidone",D9C330MD8B,5,137
BUTYLATED HYDROXYANISOLE,REK4960K2U,1,129
Trisodium Citrate Dihydrate,B22547B95K,1,127
"PEG-90, POLYETHYLENE GLYCOL 4000, Polyethylene Glycol 4000, polyethylene glycol 4000",4R4HFI6D95,4,125
DIMETHICONE,92RU3N3Y1O,1,123
"HYPROMELLOSE 2910 (15 CPS), HYPROMELLOSE 2910 (15 MPA.S), Hypromellose 2910 (15 Mpa.S), hypromellose 2910 (15 MPA.S)",36SFW2JZ0W,4,121
"MICROCRYSTALLINE CELLULOSE 102, Microcrystalline Cellulose 102, Microcrystalline cellulose 102",PNR0YF693Y,3,116
SODIUM STARCH GLYCOLATE TYPE A,H8AV0SQX4D,1,114
"POVIDONE K90, Povidone K90, povidone K90, povidone k90",RDH86HJV5Z,4,114
D&C RED NO. 30,2S42T2808B,1,114
ASCORBIC ACID,PQ6CK8PD0R,1,111
EDETATE DISODIUM,7FLD91C86K,1,107
CALCIUM STEARATE,776XM7047L,1,107
SODIUM BICARBONATE,8MDF5V39QO,1,97
DOCUSATE SODIUM,F05Q2T2JA0,1,94
"MICROCRYSTALLINE CELLULOSE 101, Microcrystalline Cellulose 101, Microcrystalline cellulose 101",7T9FYH5QMK,3,94
"POLOXAMER 188, Poloxamer 188, poloxamer 188",LQA7B6G8JG,3,91
"METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:1), Methacrylic Acid - Methyl Methacrylate Copolymer (1:1), methacrylic acid - methyl methacrylate copolymer (1:1)",74G4R6TH13,3,91
"MEDIUM-CHAIN TRIGLYCERIDES, Medium-Chain Triglycerides",C9H2L21V7U,2,90
"ACACIA, Acacia, acacia",5C5403N26O,3,90
SODIUM CHLORIDE,451W47IQ8X,1,90
