role,precision,recall,f1,support
sweetening_agent,1.0,0.9473684210526315,0.972972972972973,9.5
lubricant,1.0,1.0,1.0,6.0
solvent,1.0,0.5,0.6666666666666666,6.0
alkalizing_agent,0.75,0.6,0.6666666666666665,5.0
disintegrant,0.8333333333333334,1.0,0.9090909090909091,5.0
surfactant,0.5,0.25,0.3333333333333333,4.0
preservative,0.5,1.0,0.6666666666666666,4.0
coating_agent,0.0,0.0,0.0,4.0
glidant,1.0,0.75,0.8571428571428571,4.0
filler,0.25,0.25,0.25,4.0
suspending_thickening_agent,0.2857142857142857,0.5714285714285714,0.38095238095238093,3.5
binder,1.0,0.3333333333333333,0.5,3.0
flavoring_agent,1.0,1.0,1.0,3.0
buffering_agent,1.0,0.5,0.6666666666666666,2.0
dispersing_agent,0.0,0.0,0.0,1.0
controlled_release,0.0,0.0,0.0,1.0
solubilizing_agent,0.0,0.0,0.0,0.0
stabilizing_agent,0.0,0.0,0.0,0.0
