row_idx,api_unii,dosage_form,excipient_unii,role,confidence
0,U3H27498KS,TABLET,70097M6I30,lubricant,1.0
1,6KY687524K,TABLET,M28OL1HH48,disintegrant,1.0
1,6KY687524K,TABLET,70097M6I30,lubricant,1.0
2,0G389FZZ9M,SOLUTION,059QF0KO0R,solvent,1.0
2,0G389FZZ9M,SOLUTION,A2I8C7HI9T,preservative,1.0
2,0G389FZZ9M,SOLUTION,Z8IX2SC1OH,preservative,1.0
3,423D2T571U,TABLET,7QWA1RIO01,antioxidant,1.0
3,423D2T571U,TABLET,3SY5LH9PMK,filler,1.0
3,423D2T571U,TABLET,M28OL1HH48,disintegrant,1.0
3,423D2T571U,TABLET,70097M6I30,lubricant,1.0
4,U202363UOS,TABLET,ETJ7Z6XBU4,glidant,1.0
4,U202363UOS,TABLET,7CV7WJK4UI,lubricant,1.0
4,U202363UOS,TABLET,TTV12P4NEE,stabilizing_agent,1.0
5,3ST302B24A,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
6,26LUD4JO9K,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
6,26LUD4JO9K,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
7,4G7DS2Q64Y,CAPSULE,2G86QN327L,binder,1.0
7,4G7DS2Q64Y,CAPSULE,PDC6A3C0OX,preservative,1.0
8,1Y58DO4MY1,TABLET,Q662QK8M3B,lubricant,1.0
9,6CW7F3G59X,CAPSULE,3SY5LH9PMK,filler,1.0
9,6CW7F3G59X,CAPSULE,2G86QN327L,binder,1.0
10,JFU09I87TR,"POWDER, FOR SUSPENSION",ETJ7Z6XBU4,suspending_thickening_agent,1.0
10,JFU09I87TR,"POWDER, FOR SUSPENSION",OJ245FE5EU,preservative,1.0
11,207LT9J9OC,TABLET,3SY5LH9PMK,filler,1.0
11,207LT9J9OC,TABLET,70097M6I30,lubricant,1.0
11,207LT9J9OC,TABLET,ETJ7Z6XBU4,glidant,1.0
12,VZI5B1W380,SUSPENSION,A2I8C7HI9T,preservative,1.0
12,VZI5B1W380,SUSPENSION,Z8IX2SC1OH,preservative,1.0
12,VZI5B1W380,SUSPENSION,SB8ZUX40TY,sweetening_agent,1.0
12,VZI5B1W380,SUSPENSION,OP1R32D61U,suspending_thickening_agent,1.0
12,VZI5B1W380,SUSPENSION,8136Y38GY5,suspending_thickening_agent,1.0
13,0P6C6ZOP5U,TABLET,70097M6I30,lubricant,1.0
14,4A2Y23XK11,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
14,4A2Y23XK11,"TABLET, FILM COATED",M28OL1HH48,disintegrant,1.0
14,4A2Y23XK11,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
15,KG60484QX9,"CAPSULE, DELAYED RELEASE",3SY5LH9PMK,filler,1.0
15,KG60484QX9,"CAPSULE, DELAYED RELEASE",936JST6JCN,surfactant,1.0
15,KG60484QX9,"CAPSULE, DELAYED RELEASE",94255I6E2T,solubilizing_agent,1.0
15,KG60484QX9,"CAPSULE, DELAYED RELEASE",3OWL53L36A,filler,1.0
15,KG60484QX9,"CAPSULE, DELAYED RELEASE",2G86QN327L,binder,1.0
16,7LXU5N7ZO5,TABLET,ETJ7Z6XBU4,glidant,1.0
16,7LXU5N7ZO5,TABLET,70097M6I30,lubricant,1.0
17,LX1OH63030,TABLET,J2B2A4N98G,filler,1.0
17,LX1OH63030,TABLET,ETJ7Z6XBU4,glidant,1.0
18,Z6375YW9SF,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
18,Z6375YW9SF,"TABLET, FILM COATED",2S7830E561,disintegrant,1.0
18,Z6375YW9SF,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
19,6CW7F3G59X,CAPSULE,2G86QN327L,binder,1.0
20,JJ768O327N,"CAPSULE, EXTENDED RELEASE",936JST6JCN,surfactant,1.0
20,JJ768O327N,"CAPSULE, EXTENDED RELEASE",2G86QN327L,binder,1.0
20,JJ768O327N,"CAPSULE, EXTENDED RELEASE",3WJQ0SDW1A,lubricant,1.0
