row_idx,api_unii,dosage_form,excipient_unii,role,confidence,raw_prior,n_candidates,n_samples
0,U3H27498KS,TABLET,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
0,U3H27498KS,TABLET,OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
1,6KY687524K,TABLET,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
1,6KY687524K,TABLET,RFW2ET671P,binder,0.020120018115942027,0.060360054347826084,3,0
1,6KY687524K,TABLET,OP1R32D61U,glidant,0.000966183574879227,0.002898550724637681,3,321
2,0G389FZZ9M,SOLUTION,3K9958V90M,preservative,0.9432098765432099,0.9432098765432099,1,381
2,0G389FZZ9M,SOLUTION,817L1N4CKP,antioxidant,0.003797554347826087,0.018987771739130434,5,0
2,0G389FZZ9M,SOLUTION,C151H8M554,suspending_thickening_agent,0.01020408163265306,0.02040816326530612,2,25
3,423D2T571U,TABLET,K0KQV10C35,binder,0.008130081300813009,0.024390243902439025,3,17
3,423D2T571U,TABLET,368GB5141J,surfactant,0.5818181818181818,0.5818181818181818,1,31
3,423D2T571U,TABLET,C151H8M554,granulation_aid,0.02040816326530612,0.02040816326530612,1,25
4,U202363UOS,TABLET,0VUT3PMY82,binder,0.008622864906832298,0.060360054347826084,7,0
4,U202363UOS,TABLET,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
4,U202363UOS,TABLET,OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
4,U202363UOS,TABLET,368GB5141J,surfactant,0.5818181818181818,0.5818181818181818,1,31
4,U202363UOS,TABLET,1DI56QDM62,solubilizing_agent,0.006385869565217392,0.012771739130434783,2,0
4,U202363UOS,TABLET,C151H8M554,granulation_aid,0.02040816326530612,0.02040816326530612,1,25
4,U202363UOS,TABLET,532B59J990,stabilizing_agent,0.6714285714285714,0.6714285714285714,1,46
5,3ST302B24A,"TABLET, FILM COATED",OP1R32D61U,glidant,0.000966183574879227,0.002898550724637681,3,321
5,3ST302B24A,"TABLET, FILM COATED",EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
5,3ST302B24A,"TABLET, FILM COATED",O8232NY3SJ,disintegrant,0.0012626262626262627,0.005050505050505051,4,174
5,3ST302B24A,"TABLET, FILM COATED",RFW2ET671P,binder,0.015090013586956521,0.060360054347826084,4,0
5,3ST302B24A,"TABLET, FILM COATED",3NXW29V3WO,coating_agent,0.0007685122282608696,0.006148097826086957,8,0
6,26LUD4JO9K,"TABLET, FILM COATED",RFW2ET671P,binder,0.015090013586956521,0.060360054347826084,4,0
6,26LUD4JO9K,"TABLET, FILM COATED",3NXW29V3WO,coating_agent,0.0007685122282608696,0.006148097826086957,8,0
6,26LUD4JO9K,"TABLET, FILM COATED",EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
6,26LUD4JO9K,"TABLET, FILM COATED",O8232NY3SJ,disintegrant,0.0012626262626262627,0.005050505050505051,4,174
6,26LUD4JO9K,"TABLET, FILM COATED",3WJQ0SDW1A,plasticizer,0.001430615164520744,0.001430615164520744,1,675
7,4G7DS2Q64Y,CAPSULE,1DI56QDM62,solubilizing_agent,0.006385869565217392,0.012771739130434783,2,0
8,1Y58DO4MY1,TABLET,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
8,1Y58DO4MY1,TABLET,OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
8,1Y58DO4MY1,TABLET,0WZ8WG20P6,binder,0.008622864906832298,0.060360054347826084,7,0
8,1Y58DO4MY1,TABLET,7SEV7J4R1U,glidant,0.0022675736961451248,0.006802721088435374,3,123
8,1Y58DO4MY1,TABLET,4ELV7Z65AP,solubilizing_agent,0.006385869565217392,0.012771739130434783,2,0
9,6CW7F3G59X,CAPSULE,O8232NY3SJ,disintegrant,0.0012626262626262627,0.005050505050505051,4,174
9,6CW7F3G59X,CAPSULE,7SEV7J4R1U,glidant,0.0022675736961451248,0.006802721088435374,3,123
9,6CW7F3G59X,CAPSULE,368GB5141J,lubricant,0.00909090909090909,0.01818181818181818,2,31
10,JFU09I87TR,"POWDER, FOR SUSPENSION",C151H8M554,suspending_thickening_agent,0.01020408163265306,0.02040816326530612,2,25
10,JFU09I87TR,"POWDER, FOR SUSPENSION",TTV12P4NEE,stabilizing_agent,0.39732142857142855,0.7946428571428571,2,88
10,JFU09I87TR,"POWDER, FOR SUSPENSION",B22547B95K,alkalizing_agent,0.013688858695652175,0.0547554347826087,4,0
11,207LT9J9OC,TABLET,OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
12,VZI5B1W380,SUSPENSION,6DC9Q167V3,solvent,0.005765964673913044,0.023063858695652174,4,0
12,VZI5B1W380,SUSPENSION,817L1N4CKP,antioxidant,0.003797554347826087,0.018987771739130434,5,0
12,VZI5B1W380,SUSPENSION,506T60A25R,sweetening_agent,0.00691802536231884,0.02075407608695652,3,0
12,VZI5B1W380,SUSPENSION,K679OBS311,suspending_thickening_agent,0.004296875,0.00859375,2,3
13,0P6C6ZOP5U,TABLET,O8232NY3SJ,disintegrant,0.0012626262626262627,0.005050505050505051,4,174
13,0P6C6ZOP5U,TABLET,R75537T0T4,binder,0.008622864906832298,0.060360054347826084,7,0
13,0P6C6ZOP5U,TABLET,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
13,0P6C6ZOP5U,TABLET,LQA7B6G8JG,solubilizing_agent,0.004257246376811594,0.012771739130434783,3,0
14,4A2Y23XK11,"TABLET, FILM COATED",3OWL53L36A,filler,0.4578096947935368,0.9156193895870736,2,533
14,4A2Y23XK11,"TABLET, FILM COATED",532B59J990,coating_agent,0.0047619047619047615,0.014285714285714285,3,46
14,4A2Y23XK11,"TABLET, FILM COATED",3WJQ0SDW1A,plasticizer,0.001430615164520744,0.001430615164520744,1,675
15,KG60484QX9,"CAPSULE, DELAYED RELEASE",3NXW29V3WO,controlled_release,0.0001401154891304348,0.0011209239130434783,8,0
15,KG60484QX9,"CAPSULE, DELAYED RELEASE",368GB5141J,lubricant,0.00909090909090909,0.01818181818181818,2,31
15,KG60484QX9,"CAPSULE, DELAYED RELEASE",G4U024CQK6,solubilizing_agent,0.002128623188405797,0.012771739130434783,6,0
16,7LXU5N7ZO5,TABLET,EWQ57Q8I5X,binder,0.002109704641350211,0.004219409282700422,2,213
16,7LXU5N7ZO5,TABLET,O8232NY3SJ,disintegrant,0.0012626262626262627,0.005050505050505051,4,174
16,7LXU5N7ZO5,TABLET,7SEV7J4R1U,filler,0.2811791383219955,0.8435374149659864,3,123
17,LX1OH63030,TABLET,7SEV7J4R1U,lubricant,0.0022675736961451248,0.006802721088435374,3,123
17,LX1OH63030,TABLET,OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
18,Z6375YW9SF,"TABLET, FILM COATED",EWQ57Q8I5X,binder,0.002109704641350211,0.004219409282700422,2,213
18,Z6375YW9SF,"TABLET, FILM COATED",OP1R32D61U,filler,0.24251207729468596,0.7275362318840579,3,321
18,Z6375YW9SF,"TABLET, FILM COATED",0WZ8WG20P6,coating_agent,0.0007685122282608696,0.006148097826086957,8,0
18,Z6375YW9SF,"TABLET, FILM COATED",B697894SGQ,plasticizer,0.003355704697986577,0.003355704697986577,1,274
19,6CW7F3G59X,CAPSULE,O8232NY3SJ,filler,0.22095959595959597,0.8838383838383839,4,174
19,6CW7F3G59X,CAPSULE,7SEV7J4R1U,glidant,0.0022675736961451248,0.006802721088435374,3,123
19,6CW7F3G59X,CAPSULE,368GB5141J,lubricant,0.00909090909090909,0.01818181818181818,2,31
20,JJ768O327N,"CAPSULE, EXTENDED RELEASE",7Z8S9VYZ4B,filler,0.06148097826086957,0.12296195652173914,2,1
20,JJ768O327N,"CAPSULE, EXTENDED RELEASE",3NXW29V3WO,controlled_release,0.0001401154891304348,0.0011209239130434783,8,0
20,JJ768O327N,"CAPSULE, EXTENDED RELEASE",FZ989GH94E,disintegrant,0.0030303030303030303,0.00909090909090909,3,86
20,JJ768O327N,"CAPSULE, EXTENDED RELEASE",368GB5141J,surfactant,0.5818181818181818,0.5818181818181818,1,31
21,660YQ98I10,"TABLET, FILM COATED, EXTENDED RELEASE",7SEV7J4R1U,filler,0.2811791383219955,0.8435374149659864,3,123
21,660YQ98I10,"TABLET, FILM COATED, EXTENDED RELEASE",32K497ZK2U,controlled_release,0.12903225806451613,0.25806451612903225,2,7
21,660YQ98I10,"TABLET, FILM COATED, EXTENDED RELEASE",U725QWY32X,disintegrant,0.004115226337448559,0.012345679012345678,3,57
21,660YQ98I10,"TABLET, FILM COATED, EXTENDED RELEASE",Z82Y2C65EA,lubricant,0.15737092391304347,0.31474184782608694,2,0
21,660YQ98I10,"TABLET, FILM COATED, EXTENDED RELEASE",23ZQ42JZZH,binder,0.12903225806451613,0.25806451612903225,2,7
21,660YQ98I10,"TABLET, FILM COATED, EXTENDED RELEASE",532B59J990,coating_agent,0.0047619047619047615,0.014285714285714285,3,46
21,660YQ98I10,"TABLET, FILM COATED, EXTENDED RELEASE",0WZ8WG20P6,solubilizing_agent,0.002128623188405797,0.012771739130434783,6,0
21,660YQ98I10,"TABLET, FILM COATED, EXTENDED RELEASE",368GB5141J,surfactant,0.5818181818181818,0.5818181818181818,1,31
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",3NXW29V3WO,controlled_release,0.0001401154891304348,0.0011209239130434783,8,0
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",O8232NY3SJ,filler,0.22095959595959597,0.8838383838383839,4,174
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",368GB5141J,lubricant,0.00909090909090909,0.01818181818181818,2,31
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",FZ989GH94E,disintegrant,0.0030303030303030303,0.00909090909090909,3,86
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",2165RE0K14,surfactant,0.005791440217391305,0.01158288043478261,2,0
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",C151H8M554,granulation_aid,0.02040816326530612,0.02040816326530612,1,25
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",6DC9Q167V3,preservative,0.03121603260869565,0.0624320652173913,2,0
24,6CW7F3G59X,CAPSULE,O8232NY3SJ,disintegrant,0.0012626262626262627,0.005050505050505051,4,174
24,6CW7F3G59X,CAPSULE,7SEV7J4R1U,glidant,0.0022675736961451248,0.006802721088435374,3,123
24,6CW7F3G59X,CAPSULE,368GB5141J,lubricant,0.00909090909090909,0.01818181818181818,2,31
24,6CW7F3G59X,CAPSULE,6DC9Q167V3,preservative,0.03121603260869565,0.0624320652173913,2,0
25,IR84JPZ1RK,TABLET,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
25,IR84JPZ1RK,TABLET,OP1R32D61U,glidant,0.000966183574879227,0.002898550724637681,3,321
25,IR84JPZ1RK,TABLET,FZ989GH94E,disintegrant,0.0030303030303030303,0.00909090909090909,3,86
25,IR84JPZ1RK,TABLET,4ELV7Z65AP,lubricant,0.10491394927536231,0.31474184782608694,3,0
25,IR84JPZ1RK,TABLET,5C5403N26O,surfactant,0.005791440217391305,0.01158288043478261,2,0
25,IR84JPZ1RK,TABLET,O8232NY3SJ,granulation_aid,0.005050505050505051,0.005050505050505051,1,174
25,IR84JPZ1RK,TABLET,W4888I119H,solubilizing_agent,0.006385869565217392,0.012771739130434783,2,0
